,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,755420986686701568,2016-07-19 15:16:12,[],"RT @JustinTrudeau: Si la classe moyenne canadienne va au travail ou expédie des produits plus facilement, toute l’économie en profite.",RT JustinTrudeau Si la classe moyenne canadienne va au travail ou die des produits plus facilement toute conomie en profite,[],Economical,44,0.0,fr,GCC_CCG_tweeter
1,755734524730966016,2016-07-20 12:02:06,['https://t.co/t1qXfHY0Sv'],#LSV la #GCC sauve 15 vies en une journée moyenne? #SAR https://t.co/t1qXfHY0Sv,LSV la GCC sauve 15 vies en une moyenne SAR https co t1qXfHY0Sv,"['#LSV', '#GCC', '#SAR']",Social,11,0.0,fr,GCC_CCG_tweeter
2,756548946969948160,2016-07-22 17:58:19,['https://t.co/un2Udgvhwo'],Bon Voyage à tous à bord du #LouisSStLaurent. #Arctique #Galway #SoyezPrudent #GCCFière https://t.co/un2Udgvhwo,Bon Voyage tous bord du LouisSStLaurent Arctique Galway SoyezPrudent https co un2Udgvhwo,"['#LouisSStLaurent', '#Arctique', '#Galway', '#SoyezPrudent', '#GCCFi']",Environmental,10,0.0,fr,GCC_CCG_tweeter
3,752887514986385409,2016-07-12 15:29:06,"['https://t.co/VomjPgWwg', 'https://t.co/YD\xe2\x80\xa6']","RT @Transports_gc: Portez toujours un #GiletDeSauvetage à bord d’une embarcation! https://t.co/VomjPgWwgd
#SécuritéNautique https://t.co/YD…",RT Portez toujours un GiletDeSauvetage bord une embarcation https co VomjPgWwgd Nautique https co,"['#GiletDeSauvetage', '#S']",Economical,9,0.0,fr,GCC_CCG_tweeter
4,756851140915040257,2016-07-23 13:59:08,['https://t.co/6v28SnL2q'],Regardez le #LouisSStLaurent partir d'Halifax pour #CanArctique #DéclarationGalway #GCCFière https://t.co/6v28SnL2qU,Regardez le LouisSStLaurent partir Halifax pour CanArctique clarationGalway https co 6v28SnL2qU,"['#LouisSStLaurent', '#CanArctique', '#D', '#GCCFi']",Social,8,0.0,fr,GCC_CCG_tweeter
5,755011377824141312,2016-07-18 12:08:34,[],"RT @Transports_gc: En cette Semaine nationale de la #PréventionDeLaNoyade, renseignez-vs! #VFI #GiletDeSauvetage #SNPN @CroixRouge_Qc https…",RT En cette Semaine nationale de la ventionDeLaNoyade renseignez vs VFI GiletDeSauvetage SNPN,"['#Pr', '#VFI', '#GiletDeSauvetage', '#SNPN']",Economical,8,0.0,fr,GCC_CCG_tweeter
6,756483537075863552,2016-07-22 13:38:24,[],RT @Transports_gc: Votre #GiletDeSauvetage ne vs sauvera pas si vs ne le portez pas @sauvetage #PréventionDeLaNoyade #SécuritéNautique http…,RT Votre GiletDeSauvetage ne vs sauvera pas si vs ne le portez pas sauvetage ventionDeLaNoyade Nautique,"['#GiletDeSauvetage', '#Pr', '#S']",Economical,7,0.0,fr,GCC_CCG_tweeter
7,753228096518627328,2016-07-13 14:02:27,['https://t.co/chQc2teF9X'],"#LSV en 2015, nos navires ont assuré 1 921 heures d’assistance de brise-glace pour la livraison dans l’#Arctique? https://t.co/chQc2teF9X",LSV en 2015 nos navires ont 921 heures assistance de brise glace pour la livraison dans Arctique https co chQc2teF9X,"['#LSV', '#Arctique']",Social,7,0.0,fr,GCC_CCG_tweeter
8,755868884599799808,2016-07-20 20:56:00,['https://t.co/29zEORHTI'],NGCC #SirWilfridLaurier navigue dans les brumes matinales de la mer Chukchi. https://t.co/29zEORHTIc,NGCC SirWilfridLaurier navigue les brumes matinales mer Chukchi https co 29zEORHTIc,['#SirWilfridLaurier'],Environmental,6,0.0,fr,GCC_CCG_tweeter
9,755728810281168897,2016-07-20 11:39:23,['https://t.co/WixZz6obrt'],RT @Transports_gc: Quelques conseils de #SécuritéNautique pour cet été! #SNPN #PréventionDeLaNoyade @CroixRouge_Qc https://t.co/WixZz6obrt,RT Quelques conseils de Nautique pour cet SNPN ventionDeLaNoyade https co WixZz6obrt,"['#S', '#SNPN', '#Pr']",Economical,6,0.0,fr,GCC_CCG_tweeter
10,752939757471227905,2016-07-12 18:56:41,['https://t.co/dcHEU\xe2\x80\xa6'],"RT @MPO_MAR: Le #NGCC Hudson est un navire hauturier de science océanographique exploité à l'IIOB de Dartmouth, en N.-É. https://t.co/dcHEU…",RT Le NGCC Hudson est un navire hauturier de science anographique IIOB de Dartmouth en https co,['#NGCC'],Social,6,0.0,fr,GCC_CCG_tweeter
11,753246902037127168,2016-07-13 15:17:10,['https://t\xe2\x80\xa6'],"RT @MPO_Centre: NGCC #SirWilfridLaurier à Dutch Harbour, AK, en route avec des scientifiques via la mer Bering et la mer Chukchi. https://t…",RT NGCC SirWilfridLaurier Dutch Harbour AK en route avec des scientifiques via la mer Bering et la mer Chukchi https,['#SirWilfridLaurier'],Social,5,0.0,fr,GCC_CCG_tweeter
12,756483867855425536,2016-07-22 13:39:43,[],RT @Transports_gc: #LSV? Eau glaciale réduit température du corps 25 fois plus vite que l’air. Restez au chaud et en sécurité sur l’eau htt…,RT LSV Eau glaciale duit rature du corps 25 fois plus vite que air Restez au chaud et en sur eau,['#LSV'],Environmental,5,0.0,fr,GCC_CCG_tweeter
13,752561472568455169,2016-07-11 17:53:31,['https://\xe2\x80\xa6'],RT @VictoriaJRCC: Nos partenaires de #GCC #ARC et #RCM_SAR ont eu une FDS occupée avec 6 évacuations médicaux dans la C.-B. #CCCOS https://…,RT VictoriaJRCC Nos partenaires de GCC ARC et ont eu une FDS avec vacuations dicaux dans la CCCOS https,"['#GCC', '#ARC', '#RCM_SAR', '#CCCOS']",Environmental,5,0.0,fr,GCC_CCG_tweeter
14,753672686870683648,2016-07-14 19:29:05,['https://\xe2\x80\xa6'],"RT @MPO_Golfe: L’équipage de @GCC_CCG et les employés des sciences, ravis d'accueillir min. LeBlanc à bord du Perley à #Shédiac NB https://…",RT quipage de et les des sciences ravis accueillir min LeBlanc bord du Perley diac NB https,['#Sh'],Environmental,5,0.0,fr,GCC_CCG_tweeter
15,755721669105287168,2016-07-20 11:11:01,['https://t\xe2\x80\xa6'],RT @Transports_gc: Notre avion du PNSA repère le brise-glace #TerryFox @GCC_CCG à l’embouchure du Détroit d’Hudson. #ÉquipeDuPNSA https://t…,RT Notre avion du PNSA le brise glace TerryFox embouchure du troit Hudson quipeDuPNSA https,"['#TerryFox', '#']",Economical,5,0.0,fr,GCC_CCG_tweeter
16,755097382199656448,2016-07-18 17:50:19,['https://t.co/CmRjL4b88q'],RT @ScitechCanada: Phare Cape North offert par @GCC_CCG @MPO_DFO est arrivé le 11 déc 1980 et installé en 1981 https://t.co/CmRjL4b88q http…,RT ScitechCanada Phare Cape North offert par est le 11 1980 et en 1981 https co CmRjL4b88q,[],Environmental,5,0.0,fr,GCC_CCG_tweeter
17,756154463161819136,2016-07-21 15:50:47,['https://t.\xe2\x80\xa6'],RT @MPO_DFO: Min Leblanc à #Halifax pour le départ du NGCC Louis S. St-Laurent et les missions #DeclarationGalway + #CanArctique https://t.…,RT Min Leblanc Halifax pour le part du NGCC Louis St Laurent et les missions DeclarationGalway CanArctique https,"['#Halifax', '#DeclarationGalway', '#CanArctique']",Social,5,0.0,fr,GCC_CCG_tweeter
18,755008488548564993,2016-07-18 11:57:05,['https://t.co/TSyuETKexI'],RT @MPO_TNL: L’équipe du #NGCC Henry Larsen fait les préparations final en St. John’s pour leur mission Arctique https://t.co/TSyuETKexI,RT quipe du NGCC Henry Larsen fait les parations final en St pour leur mission Arctique https co TSyuETKexI,['#NGCC'],Social,5,0.0,fr,GCC_CCG_tweeter
19,759448816538030080,2016-07-30 18:01:22,[],"#LSV au cours d’une journée normale, nous aidons 52 personnes dans 27 cas de #SAR? #SoyezPrudent #SécuritéNautique #Giletdesauvetage",LSV au cours une normale nous aidons 52 personnes dans 27 cas de SAR SoyezPrudent Nautique Giletdesauvetage,"['#LSV', '#SAR', '#SoyezPrudent', '#S', '#Giletdesauvetage']",Environmental,4,0.0,fr,GCC_CCG_tweeter
20,755009632200974336,2016-07-18 12:01:38,['https://t.co/rP53Ua9ChE'],#GCCFière – un de nos nouv hélicos 429 entreprend la familiarisation &amp; formation à bord du NGCC #HenryLarsen https://t.co/rP53Ua9ChE,un de nos nouv licos 429 entreprend la familiarisation amp formation bord du NGCC HenryLarsen https co rP53Ua9ChE,"['#GCCFi', '#HenryLarsen']",Social,4,0.0,fr,GCC_CCG_tweeter
21,755049982160502784,2016-07-18 14:41:58,"['https://t.co/IMKAyIjsyW', 'https://t.co/ZQ36232liA']","Apprenez en plus sur un de nos brise-glace moyen le NGCC #HenryLarsen ici
https://t.co/IMKAyIjsyW https://t.co/ZQ36232liA",Apprenez plus brise glace moyen NGCC HenryLarsen ici https co IMKAyIjsyW https co ZQ36232liA,['#HenryLarsen'],Social,4,0.0,fr,GCC_CCG_tweeter
22,758271796105846784,2016-07-27 12:04:18,"['https://t.co/NnBEugxLAP', 'https://t.co/Kd7nPOe\xe2\x80\xa6']",RT @Transports_gc: #GiletDeSauvetage ou #VFI On doit les porter même à la #pêche aux #crabes 🦀 https://t.co/NnBEugxLAP https://t.co/Kd7nPOe…,RT GiletDeSauvetage ou VFI doit les porter la aux crabes https co NnBEugxLAP https co,"['#GiletDeSauvetage', '#VFI', '#p', '#crabes']",Economical,4,0.0,fr,GCC_CCG_tweeter
23,758331424822923264,2016-07-27 16:01:15,"['https://t.co/UYNaRUSnrX', 'https://t.co/ATLx0aRYOX']",Joignez-vous au Collège de la #GCC pour l’année 2017. Informez-vous sur le Collège https://t.co/UYNaRUSnrX https://t.co/ATLx0aRYOX,Joignez vous au ge de la GCC pour 2017 Informez vous sur le ge https co UYNaRUSnrX https co ATLx0aRYOX,['#GCC'],Environmental,4,0.0,fr,GCC_CCG_tweeter
24,755455880674541568,2016-07-19 17:34:52,['https://t.co/Zwl14o9mee'],"RT @MPO_MAR: Un hélicoptère de la #GCC décolle de l'île Georges, dans le port d'Halifax, le 12 juillet 2016 https://t.co/Zwl14o9mee",RT Un de la GCC colle de le Georges dans le port Halifax le 12 juillet 2016 https co Zwl14o9mee,['#GCC'],Environmental,4,0.0,fr,GCC_CCG_tweeter
