Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,sentiment,lemmatized_text,matched_keywords,category,category
0,370233926766473_392749417848257,2017-12-11 21:00:25,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392749417848257/?type=3,"Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?! http://ow.ly/inat30h9XzF","Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?!",[],2,0,7,1,1,0,0,0,0,0,9,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['saviez-vous', 'devriez', 'toujours', 'vérifier', ""l'indice"", 'hiver', 'httpowlyinat30h9xzf']",[],unknown,unknown
1,370233926766473_384139552042577,2017-11-22 20:07:46,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384139552042577/?type=3,"Regardez la ministre de l’Environnement et du Changement climatique, Catherine McKenna, qui prononcera une allocution lors de la conférence internationale qui vise à protéger la couche d’ozone et à lutter contre les changements climatiques. EN DIRECT de Montréal! UN Environment","Regardez la ministre de l’Environnement et du Changement climatique, Catherine McKenna, qui prononcera une allocution lors de la conférence internationale qui vise à protéger la couche d’ozone et à lutter contre les changements climatiques. EN DIRECT de Montréal! UN Environment",[],1,0,8,1,0,0,0,0,0,0,9,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['regardez', 'ministre', ""l'environnement"", 'changement', 'climatique', 'catherine', 'mckenna', 'prononcera', 'allocution', 'lors', 'conférence', 'internationale', 'vise', 'protéger', 'couche', ""d'ozone"", 'lutter', 'contre', 'les', 'changement', 'climatiques', 'direct', 'montréal', 'environment']","['ministre', 'changement', 'climatique', 'mckenna', 'protéger', 'changement']",Environmental,Environmental
2,370233926766473_396995560756976,2017-12-21 08:40:30,https://www.facebook.com/EnvironnementetChangementclimatique/videos/396995560756976/,"Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de 2017 une année catastrophique  pour les cultivateurs et les éleveurs.

Les experts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année 2017 à partir d’une liste de 100 événements importants dans tout le pays. Jetez un coup d’œil : http://ow.ly/z50V30hn2I6","Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de une année catastrophique pour les cultivateurs et les éleveurs. Les eerts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année à partir d’une liste de événements importants dans tout le pays. Jetez un coup d’œil :",[],1,0,6,1,0,0,0,0,0,0,7,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['les', 'canadien', 'long', 'dire', 'météo', 'cette', 'année', 'inondation', 'causé', 'dommage', 'important', 'certaines', 'région', 'québec', ""l'ontario"", 'tempête', 'hivernale', 'enseveli', 'canada', 'atlantique', 'les', 'britanno-colombiens', 'vécu', 'saison', 'feux', 'forêt', 'plus', 'dévastateur', ""l'histoire"", 'province', 'les', 'condition', 'chaleur', 'sécheresse', 'record', ""l'ouest"", 'fait', '2017', 'année', 'catastrophique', 'les', 'cultivateur', 'les', 'éleveur', 'les', 'expert', 'météorologue', ""d'environnement"", 'changement', 'climatique', 'canada', 'sélectionné', 'leurs', 'dix', 'événement', 'météo', 'les', 'plus', 'marquants', ""l'année"", '2017', 'partir', ""d'une"", 'liste', '100', 'événement', 'important', 'tout', 'pays', 'jetez', 'coup', ""d'œil"", 'httpowlyz50v30hn2i6']","['inondation', 'forêt', 'changement', 'climatique', 'événement', 'événement', 'pays']",Social,Social
3,370233926766473_390322918090907,2017-12-06 14:49:48,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390322918090907/,#CanadaEnChine – Bombardier ?? spécialiste en réduction de pollution avec son aéronef novateur #CSeries qui consomme seulement 2 L/100 km de carburant par passager. http://ow.ly/Fk9c30h3Hry #ActionClimatique,– Bombardier ?? spécialiste en réduction de pollution avec son aéronef novateur qui consomme seulement L/100 km de carburant par passager.,"['#CanadaEnChine', '#CSeries', '#ActionClimatique']",3,0,3,3,0,0,0,0,0,0,6,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['#canadaenchine', 'bombardier', 'spécialiste', 'réduction', 'pollution', 'aéronef', 'novateur', '#cseries', 'consomme', 'seulement', 'l100', 'kilomètre', 'carburant', 'passager', 'httpowlyfk9c30h3hry', '#actionclimatique']","['pollution', 'novateur', 'consomme', 'passager']",Economical,Economical
4,370233926766473_394378127685386,2017-12-15 14:34:41,https://www.facebook.com/EnvironnementetChangementclimatique/videos/394378127685386/,"Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de 1 milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. 

Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.

http://ow.ly/tGE730hfWnA","Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.",[],3,0,2,1,2,0,0,0,0,0,5,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['grand', 'nouveau', 'gouvernement', 'canada', 'ficera', 'cour', 'cinq', 'prochaine', 'année', 'plus', 'milliard', 'dollar', 'fond', 'leadership', ""l'économie"", 'faible', 'émission', 'carbone', 'aider', 'les', 'province', 'colombie-britannique', ""l'alberta"", ""l'ontario"", 'québec', 'nouveau-brunswick', 'nouvelle-écosse', 'canada', ""s'est"", 'engagé', 'développer', ""l'économie"", 'protection', ""l'environnement"", 'les', 'génération', 'futures', 'httpowlytge730hfwna']","['dollar', 'émission', 'aider']",Social,Social
5,370233926766473_383278448795354,2017-11-20 15:55:26,https://www.facebook.com/EnvironnementetChangementclimatique/videos/383278448795354/,"Le Protocole de Montréal est l’un des accords mondiaux les plus fructueux de l’histoire. Le Canada, avec l’aide du monde entier, a mis fin à l’appauvrissement de la couche d’ozone. Et maintenant, 30 ans plus tard, nous unissons nos efforts dans le cadre de cet accord pour mettre un terme aux changements climatiques, grâce à l’Amendement de Kigali.","Le Protocole de Montréal est l’un des accords mondiaux les plus fructueux de l’histoire. Le Canada, avec l’aide du monde entier, a mis fin à l’appauvrissement de la couche d’ozone. Et maintenant, ans plus tard, nous unissons nos efforts dans le cadre de cet accord pour mettre un terme aux changements climatiques, grâce à l’Amendement de Kigali.",[],2,0,3,2,0,0,0,0,0,0,5,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['protocole', 'montréal', ""l'un"", 'accord', 'mondiaux', 'les', 'plus', 'fructueux', ""l'histoire"", 'canada', ""l'aide"", 'monde', 'entier', 'mis', 'fin', ""l'appauvrissement"", 'couche', ""d'ozone"", 'maintet', 'plus', 'tard', 'unisson', 'effort', 'cadre', 'cet', 'accord', 'mettre', 'terme', 'changement', 'climatiques', 'grâce', ""l'amendement"", 'kigali']",['changement'],Social,Social
6,370233926766473_394064157716783,2017-12-14 23:18:11,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/394064034383462/?type=3,"Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le 15 décembre à 9 h 30 (HNE), suivez en direct sur Facebook pour de plus amples renseignements! https://www.facebook.com/EnvironnementetChangementclimatique/","Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le décembre à h (HNE), suivez en direct sur Facebook pour de plus amples renseignements!",[],4,0,1,2,2,0,0,0,0,0,5,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['gouvernement', 'canada', 'annonce', 'nouveau', 'fond', 'aider', 'soutenir', 'économie', 'faible', 'émission', 'carbone', 'demain', 'décembre', 'hne', 'suivez', 'direct', 'facebook', 'plus', 'amples', 'renseignement', 'httpswwwfacebookcomenvironnementetchangementclimatique']","['aider', 'économie', 'émission']",Social,Social
7,370233926766473_384933678629831,2017-11-24 16:02:06,https://www.facebook.com/EnvironnementetChangementclimatique/videos/384933678629831/,"Écoutez Dre Mona Nemer, conseillère scientifique en chef du Canada, à la Conférence du protocole de Montréal, suite à la discussion plénière du Programme des Nations Unies pour l'environnement, parler du fondement scientifique du Protocole de Montréal. La science continuera de nous aider à réparer la couche d’ozone!","Écoutez Dre Mona Nemer, conseillère scientifique en chef du Canada, à la Conférence du protocole de Montréal, suite à la discussion plénière du Programme des Nations Unies pour l'environnement, parler du fondement scientifique du Protocole de Montréal. La science continuera de nous aider à réparer la couche d’ozone!",[],2,0,3,2,0,0,0,0,0,0,5,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['écoutez', 'dre', 'mona', 'nemer', 'conseiller', 'scientifique', 'chef', 'canada', 'conférence', 'protocole', 'montréal', 'suite', 'discussion', 'plénière', 'programme', 'nation', 'unies', ""l'environnement"", 'parler', 'fondement', 'scientifique', 'protocole', 'montréal', 'science', 'continuera', 'aider', 'réparer', 'couche', ""d'ozone""]","['scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'aider']",Social,Social
8,370233926766473_390273258095873,2017-12-06 12:08:23,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390273258095873/,"#CanadaenChine – Hydrogenics ?? ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission. http://ow.ly/jbhD30h3tgq #ActionClimatique","– Hydrogenics ?? ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission.","['#CanadaenChine', '#ActionClimatique']",0,0,5,0,0,0,0,0,0,0,5,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['#canadaenchine', 'hydrogenics', 'spécialise', 'développement', ""d'infrastructures"", 'les', 'pile', 'hydrogène', 'les', 'véhicule', 'tels', 'les', 'autobus', 'zéro', 'émission', 'httpowlyjbhd30h3tgq', '#actionclimatique']","['hydrogenics', 'développement', 'véhicule', 'émission']",Economical,Economical
9,370233926766473_394045367718662,2017-12-14 22:11:49,https://www.facebook.com/EnvironmentandClimateChange/videos/663786990676596/,La ministre McKenna annonce une nouvelle initiative visant à appuyer une croissance économie propre à faibles émissions de carbone!,La ministre McKenna annonce une nouvelle initiative visant à appuyer une croissance économie propre à faibles émissions de carbone!,[],4,0,0,3,1,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,neutral,"['ministre', 'mckenna', 'annonce', 'nouveau', 'initiative', 'visant', 'appuyer', 'croissance', 'économie', 'propre', 'faible', 'émission', 'carbone']","['ministre', 'mckenna', 'croissance', 'économie', 'propre', 'émission']",Economical,Economical
